,Unnamed: 0,country,gdp,fossil_share_energy,renewables_share_energy,low_carbon_share_energy,nuclear_share_energy,population,energy_per_capita,primary_energy_consumption
1088,12813,Poland,732000000000.0,97.241,2.759,2.759,0.0,38352000.0,28425.395,1090.171
1089,12814,Poland,791000000000.0,96.908,3.092,3.092,0.0,38330000.0,30311.204,1161.828
1090,12815,Poland,843000000000.0,96.4,3.6,3.6,0.0,38287000.0,30494.54,1167.544
1091,12816,Poland,889000000000.0,95.379,4.621,4.621,0.0,38227000.0,29612.118,1131.982
1092,12817,Poland,912000000000.0,95.393,4.607,4.607,0.0,38158000.0,29749.993,1135.2
1093,12818,Poland,939000000000.0,94.631,5.369,5.369,0.0,38091000.0,28693.19,1092.952
1094,12819,Poland,975000000000.0,94.11,5.89,5.89,0.0,38034000.0,29036.679,1104.381
1095,12820,Poland,1000000000000.0,94.576,5.424,5.424,0.0,37989000.0,30350.815,1152.997
1096,12821,Poland,,94.374,5.626,5.626,0.0,37953000.0,31583.28,1198.68
1097,12822,Poland,,94.306,5.291,5.291,0.0,37922000.0,32106.322,1217.536
1098,12823,Poland,,93.263,6.182,6.182,0.0,37888000.0,31355.418,1187.994
1099,12824,Poland,,,,,,,,
1100,12925,Portugal,220000000000.0,87.705,12.295,12.295,0.0,10297000.0,28233.557,290.721
1101,12926,Portugal,222000000000.0,85.25,14.75,14.75,0.0,10341000.0,28482.009,294.532
1102,12927,Portugal,225000000000.0,90.901,9.099,9.099,0.0,10386000.0,28240.049,293.301
1103,12928,Portugal,222000000000.0,83.914,16.086,16.086,0.0,10430000.0,28749.47,299.857
1104,12929,Portugal,220000000000.0,88.692,11.308,11.308,0.0,10471000.0,28163.746,294.903
1105,12930,Portugal,238000000000.0,92.496,7.504,7.504,0.0,10508000.0,28073.391,294.995
1106,12931,Portugal,249000000000.0,85.377,14.623,14.623,0.0,10543000.0,27649.613,291.51
1107,12932,Portugal,262000000000.0,84.837,15.163,15.163,0.0,10573000.0,27772.076,293.634
1108,12933,Portugal,258000000000.0,85.805,14.195,14.195,0.0,10595000.0,26764.42,283.569
1109,12934,Portugal,263000000000.0,82.262,17.738,17.738,0.0,10604000.0,26906.628,285.318
1110,12935,Portugal,269000000000.0,74.023,25.977,25.977,0.0,10596000.0,28241.897,299.251
1111,12936,Portugal,264000000000.0,76.882,23.118,23.118,0.0,10569000.0,27037.609,285.76
1112,12937,Portugal,269000000000.0,79.656,20.344,20.344,0.0,10526000.0,24819.293,261.248
1113,12938,Portugal,269000000000.0,72.451,27.549,27.549,0.0,10473000.0,27262.918,285.525
1114,12939,Portugal,276000000000.0,70.933,29.067,29.067,0.0,10418000.0,27588.124,287.413
1115,12940,Portugal,281000000000.0,76.995,23.005,23.005,0.0,10368000.0,27562.39,285.767
1116,12941,Portugal,285000000000.0,71.939,28.061,28.061,0.0,10326000.0,29132.501,300.822
1117,12942,Portugal,,80.091,19.909,19.909,0.0,10289000.0,28998.655,298.367
1118,12943,Portugal,,74.476,25.524,25.524,0.0,10256000.0,29169.073,299.158
1119,12944,Portugal,,75.546,24.454,24.454,0.0,10226000.0,28328.318,289.685
1120,12945,Portugal,,,,,,,,
1121,13086,Qatar,36707676160.0,100.0,0.0,0.0,0.0,592000.0,227040.462,134.408
1122,13087,Qatar,37521051648.0,100.0,0.0,0.0,0.0,615000.0,212998.695,130.994
1123,13088,Qatar,39263993856.0,100.0,0.0,0.0,0.0,641000.0,230848.466,147.974
1124,13089,Qatar,52706697216.0,100.0,0.0,0.0,0.0,682000.0,243876.882,166.324
1125,13090,Qatar,66352525312.0,100.0,0.0,0.0,0.0,753000.0,258924.428,194.97
1126,13091,Qatar,90173325312.0,100.0,0.0,0.0,0.0,865000.0,259410.061,224.39
1127,13092,Qatar,115000000000.0,100.0,0.0,0.0,0.0,1023000.0,231087.521,236.403
1128,13093,Qatar,140000000000.0,100.0,0.0,0.0,0.0,1218000.0,212247.157,258.517
1129,13094,Qatar,189000000000.0,100.0,0.0,0.0,0.0,1437000.0,198947.266,285.887
1130,13095,Qatar,168000000000.0,100.0,0.0,0.0,0.0,1655000.0,174526.663,288.842
1131,13096,Qatar,203000000000.0,100.0,0.0,0.0,0.0,1856000.0,181044.002,336.018
1132,13097,Qatar,277000000000.0,99.923,0.077,0.077,0.0,2036000.0,190997.01,388.87
1133,13098,Qatar,295000000000.0,99.932,0.068,0.068,0.0,2196000.0,200976.542,441.344
1134,13099,Qatar,293000000000.0,99.936,0.064,0.064,0.0,2337000.0,203108.982,474.666
1135,13100,Qatar,282000000000.0,99.939,0.061,0.061,0.0,2459000.0,207376.531,509.939
1136,13101,Qatar,292000000000.0,99.946,0.054,0.054,0.0,2566000.0,221633.7,568.712
1137,13102,Qatar,300000000000.0,99.944,0.056,0.056,0.0,2654000.0,208849.051,554.285
1138,13103,Qatar,,99.942,0.058,0.058,0.0,2725000.0,195973.265,534.027
1139,13104,Qatar,,99.945,0.055,0.055,0.0,2782000.0,198803.039,553.07
1140,13105,Qatar,,99.946,0.054,0.054,0.0,2832000.0,198418.117,561.92
1141,13246,Romania,167000000000.0,86.533,9.836,13.467,3.631,22137000.0,18853.41,417.358
