,country,gdp,fossil_share_energy,renewables_share_energy,nuclear_share_energy,population
1954,Bolivia,47.795335168,,,,10049000.0
1955,Bolivia,53.944389632,,,,10213000.0
1956,Bolivia,57.0889216,,,,10378000.0
1957,Bolivia,60.91440128,,,,10542000.0
1958,Bolivia,61.48970496,,,,10707000.0
1959,Bolivia,64.471166976,,,,10870000.0
1960,Bolivia,67.114459136,,,,11032000.0
1961,Bolivia,,,,,11193000.0
1962,Bolivia,,,,,11353000.0
1963,Bolivia,,,,,11513000.0
1964,Bolivia,,,,,
1973,Bosnia and Herzegovina,22.914473984,,,,3751000.0
1974,Bosnia and Herzegovina,23.051558912,,,,3756000.0
1975,Bosnia and Herzegovina,24.114681856,,,,3759000.0
1976,Bosnia and Herzegovina,23.691220992,,,,3762000.0
1977,Bosnia and Herzegovina,23.10269952,,,,3764000.0
1978,Bosnia and Herzegovina,25.861679104,,,,3765000.0
1979,Bosnia and Herzegovina,28.102733824,,,,3765000.0
1980,Bosnia and Herzegovina,30.910529536,,,,3763000.0
1981,Bosnia and Herzegovina,32.805036032,,,,3754000.0
1982,Bosnia and Herzegovina,34.366640128,,,,3736000.0
1983,Bosnia and Herzegovina,34.4370176,,,,3705000.0
1984,Bosnia and Herzegovina,35.664781312,,,,3661000.0
1985,Bosnia and Herzegovina,37.336076288,,,,3605000.0
1986,Bosnia and Herzegovina,38.494396416,,,,3543000.0
1987,Bosnia and Herzegovina,39.634432,,,,3482000.0
1988,Bosnia and Herzegovina,40.84901888,,,,3429000.0
1989,Bosnia and Herzegovina,41.870385152,,,,3386000.0
1990,Bosnia and Herzegovina,,,,,3352000.0
1991,Bosnia and Herzegovina,,,,,3324000.0
1992,Bosnia and Herzegovina,,,,,3301000.0
1993,Bosnia and Herzegovina,,,,,
2094,Botswana,15.763874816,,,,1643000.0
2095,Botswana,15.779424256,,,,1675000.0
2096,Botswana,18.706720768,,,,1705000.0
2097,Botswana,18.380249088,,,,1734000.0
2098,Botswana,19.293714432,,,,1766000.0
2099,Botswana,21.960869888,,,,1799000.0
2100,Botswana,22.822098944,,,,1836000.0
2101,Botswana,23.521949696,,,,1875000.0
2102,Botswana,23.539697664,,,,1916000.0
2103,Botswana,21.862223872,,,,1953000.0
2104,Botswana,24.107864064,,,,1987000.0
2105,Botswana,26.899136512,,,,2015000.0
2106,Botswana,27.16782592,,,,2040000.0
2107,Botswana,27.42544384,,,,2063000.0
2108,Botswana,31.4688,,,,2089000.0
2109,Botswana,31.387396096,,,,2121000.0
2110,Botswana,32.74771456,,,,2160000.0
2111,Botswana,,,,,2205000.0
