,country,gdp,low_carbon_share_energy,population,energy_per_capita
1842,Bhutan,,,754000.0,
1843,Bhutan,,,763000.0,
1944,Bolivia,24.453879808,,8418000.0,5147.586
1945,Bolivia,25.577918464,,8580000.0,4305.691
1946,Bolivia,26.975635456,,8743000.0,4623.534
1947,Bolivia,28.345468928,,8906000.0,6119.649
1948,Bolivia,30.184128512,,9069000.0,6239.658
1949,Bolivia,32.590215168,,9232000.0,6007.822
1950,Bolivia,34.446999552,,9395000.0,6503.713
1951,Bolivia,36.591730688,,9558000.0,6871.343
1952,Bolivia,41.33230592,,9721000.0,6936.628
1953,Bolivia,43.342348288,,9885000.0,6729.47
1954,Bolivia,47.795335168,,10049000.0,6728.254
1955,Bolivia,53.944389632,,10213000.0,6586.994
1956,Bolivia,57.0889216,,10378000.0,8024.79
1957,Bolivia,60.91440128,,10542000.0,8036.692
1958,Bolivia,61.48970496,,10707000.0,7999.507
1959,Bolivia,64.471166976,,10870000.0,7684.553
1960,Bolivia,67.114459136,,11032000.0,8243.057
1961,Bolivia,,,11193000.0,
1962,Bolivia,,,11353000.0,
1963,Bolivia,,,11513000.0,
1964,Bolivia,,,,
1973,Bosnia and Herzegovina,22.914473984,,3751000.0,18273.859
1974,Bosnia and Herzegovina,23.051558912,,3756000.0,18122.826
1975,Bosnia and Herzegovina,24.114681856,,3759000.0,18326.86
1976,Bosnia and Herzegovina,23.691220992,,3762000.0,15983.116
1977,Bosnia and Herzegovina,23.10269952,,3764000.0,16807.365
1978,Bosnia and Herzegovina,25.861679104,,3765000.0,15618.33
1979,Bosnia and Herzegovina,28.102733824,,3765000.0,16224.597
1980,Bosnia and Herzegovina,30.910529536,,3763000.0,15276.153
1981,Bosnia and Herzegovina,32.805036032,,3754000.0,17526.101
1982,Bosnia and Herzegovina,34.366640128,,3736000.0,20864.085
1983,Bosnia and Herzegovina,34.4370176,,3705000.0,22948.314
1984,Bosnia and Herzegovina,35.664781312,,3661000.0,22347.642
1985,Bosnia and Herzegovina,37.336076288,,3605000.0,20670.871
1986,Bosnia and Herzegovina,38.494396416,,3543000.0,22851.026
1987,Bosnia and Herzegovina,39.634432,,3482000.0,22933.725
1988,Bosnia and Herzegovina,40.84901888,,3429000.0,23000.156
1989,Bosnia and Herzegovina,41.870385152,,3386000.0,24397.519
1990,Bosnia and Herzegovina,,,3352000.0,
1991,Bosnia and Herzegovina,,,3324000.0,
1992,Bosnia and Herzegovina,,,3301000.0,
1993,Bosnia and Herzegovina,,,,
2094,Botswana,15.763874816,,1643000.0,8148.495
2095,Botswana,15.779424256,,1675000.0,8314.226
2096,Botswana,18.706720768,,1705000.0,8435.112
2097,Botswana,18.380249088,,1734000.0,8342.524
2098,Botswana,19.293714432,,1766000.0,8176.035
2099,Botswana,21.960869888,,1799000.0,8608.352
2100,Botswana,22.822098944,,1836000.0,8659.973
2101,Botswana,23.521949696,,1875000.0,8567.972
2102,Botswana,23.539697664,,1916000.0,8672.216
2103,Botswana,21.862223872,,1953000.0,7901.829
2104,Botswana,24.107864064,,1987000.0,6935.537
2105,Botswana,26.899136512,,2015000.0,6839.982
2106,Botswana,27.16782592,,2040000.0,6536.302
2107,Botswana,27.42544384,,2063000.0,7950.328
2108,Botswana,31.4688,,2089000.0,8466.34
2109,Botswana,31.387396096,,2121000.0,9979.413
2110,Botswana,32.74771456,,2160000.0,9749.645
2111,Botswana,,,2205000.0,
2112,Botswana,,,2254000.0,
2113,Botswana,,,2304000.0,
2214,Brazil,1470.0,42.61,174790000.0,12780.446
2215,Brazil,1460.0,39.619,177196000.0,12359.504
2216,Brazil,1480.0,41.172,179538000.0,12486.084
2217,Brazil,1480.0,42.534,181808992.0,12548.229
2218,Brazil,1560.0,42.228,184006000.0,13004.357
2219,Brazil,1630.0,42.837,186127008.0,13219.786
2220,Brazil,1770.0,43.093,188167008.0,13402.931
2221,Brazil,1970.0,44.215,190130000.0,14076.064
2222,Brazil,2210.0,43.335,192030000.0,14551.581
2223,Brazil,2300.0,46.172,193887008.0,14296.021
